COUPON_ID,IS_COUPON_APPLIED,COUPON_DISCOUNT,COUPON_TYPE
02c8f93e-55af-44b6-85d2-c42168a68797,TRUE,58.50000000,Discount
2ee4d05f-89b8-4ce4-b52d-6537d655bbff,TRUE,125.00000000,Discount
96f65bf5-9ff1-499d-9502-091da6ccf173,TRUE,74.98999786,Discount
d000c38b-93b3-4031-a4d3-f0983573ce58,TRUE,124.98999786,Discount
8ce04dd3-d2d2-463b-bd6d-9bca5eebd1ff,TRUE,90.00000000,Discount
90a719da-32ba-4db8-8dd8-df80977d0274,TRUE,74.98999786,Discount
2dbe194a-12b6-447f-b715-9b8f3669c42a,TRUE,100.00000000,Discount
fa8bc9b3-81ef-4175-935a-aa20d831c803,TRUE,150.00000000,Discount
80948fc4-0bb3-4522-84bf-4fd08fb63692,TRUE,100.00000000,Discount
20bf7bda-8407-4381-86c6-47c6b107b538,TRUE,100.00000000,Discount
47f87852-cded-43ab-afa2-2f39b16d7234,TRUE,65.00000000,Discount
c8e3a894-2329-4446-8ddb-254a4db7d1da,TRUE,96.00000000,Discount
cb69b7a9-c777-488e-9549-16aeb9029459,TRUE,101.40000153,Discount
428288c5-7d67-42ad-ab86-1d9f7647fbf6,TRUE,64.00000000,Discount
1825f05a-527a-4682-9fe5-641a9721d318,TRUE,107.00000000,Discount
a7719115-3593-41fc-9b8d-c9e1e0018b08,TRUE,74.50000000,Discount
87be6a80-2105-4dfe-b8e6-065e116a812c,TRUE,100.00000000,Discount
a5222929-df01-4716-a238-335ccd60631b,TRUE,79.80000305,Discount
e3d43f6b-8ce5-41e4-8333-c8a0896142a0,TRUE,99.98999786,Discount
ed81b025-7172-4511-93f1-cb6aa5881ea4,TRUE,79.19999695,Discount
4fe2c86a-b706-465c-8ff5-feabf2ceb919,TRUE,45.00000000,Discount
7976b4d0-0ab7-4886-a5e4-c6c7c2f88742,TRUE,80.00000000,Discount
64774725-7f2d-47d0-84f6-998e5f4d1a5c,TRUE,119.98999786,Discount
64774725-7f2d-47d0-84f6-998e5f4d1a5c,TRUE,78.00000000,Discount
42899fb1-40fb-4a90-891d-088f7046993e,TRUE,119.98999786,Discount
bf2fac43-c271-4647-8b77-2c11e05327a0,TRUE,95.40000153,Discount
9cfcab2a-51e3-46ea-b201-7bde51fac390,TRUE,96.00000000,Discount
3b8d2f18-c7e9-4243-ae65-c587da59c155,TRUE,96.00000000,Discount
ef76a9e9-932c-444b-a390-6e9157386a61,TRUE,119.98000336,Discount
bf2fac43-c271-4647-8b77-2c11e05327a0,TRUE,119.98999786,Discount
7073d9f3-5c14-4572-a159-7f00e81ae0c2,TRUE,120.00000000,Discount
88c6a65b-1dad-427b-b313-53b0b25654cc,TRUE,99.98999786,Discount
d6457c78-026a-4bf6-be87-cb8069270e1c,TRUE,112.79000092,Discount
b4af3746-a8f5-4926-9a01-e650678619e9,TRUE,150.00000000,
e336738c-d65b-4828-89ec-ad87fc2d4260,TRUE,70.00000000,Discount
cb9c74e8-5753-4c19-a930-db15c71c94f2,TRUE,109.00000000,
4b14a7db-7ab2-4ea0-a3bc-ae1bb7c40c57,TRUE,120.00000000,Discount
f0de3b6e-f8d8-427e-93ce-a655a0724a91,TRUE,70.59999847,Discount
068c1430-ed4f-48bc-8495-302ce9734137,TRUE,112.79000092,Discount
a4e62c4d-7cac-41b0-9e3d-adf94bc3059a,TRUE,80.00000000,Discount
bcf996b9-83c9-4d61-9da6-425b133b0278,TRUE,132.00000000,Discount
