BILLING_ID,COUPON_ID,DELIVERY_ID,TIP_DETAILS,PAYMENT_METHOD,TRANSACTION_STATUS,NET_TOTAL,CONVENIENCE_FEE,ORDER_DELIVERY_CHARGE,PAYMENT_TXN_ID,IS_BANK_DISCOUNT,SAVINGS_SHOWN_TO_CUSTOMER,TOTAL_TAX,ORDER_ID
26849825,50e7c67f-a118-4dfc-b86d-9b56551c724e,26849825,PRE_ORDER_TIPPING,AmazonPay,success,96.0000,0.0000,26.0000,112707918889,FALSE,TRUE,0,112707918889
26849825,564fff58-9928-4877-99cb-f846f91bb7ce,26849825,PRE_ORDER_TIPPING,AmazonPay,success,108.0000,0.0000,26.0000,112460882097,FALSE,TRUE,6,112460882097
26849825,29cf3f87-b52f-4950-95da-0348792a8ca7,26849825,PRE_ORDER_TIPPING,AmazonPay,success,154.0000,0.0000,26.0000,112200920446,FALSE,TRUE,8,112200920446
26849825,03bfb656-69bf-4477-b72e-19a60af32c48,26849825,PRE_ORDER_TIPPING,AmazonPay,success,159.0000,0.0000,31.0000,112030750201,FALSE,TRUE,8,112030750201
26849825,49e55d91-353c-4b8d-949e-98126dc3eee6,26849825,PRE_ORDER_TIPPING,Credit/Debit card,success,475.0000,0.0000,49.0000,110560742146,FALSE,TRUE,27,110560742146
26849825,a76b086d-88d0-4c20-9de6-bff47f33ff00,26849825,PRE_ORDER_TIPPING,AmazonPay,success,251.0000,0.0000,26.0000,110037806757,FALSE,TRUE,18,110037806757
26849825,dda4ee6d-9ba8-4c78-8eca-d4fa18913ad3,26849825,PRE_ORDER_TIPPING,AmazonPay,success,198.0000,0.0000,30.0000,88952099449,TRUE,TRUE,11,88952099449
26849825,3bc38685-68be-4242-8b9c-e5cdfcd33e2e,26849825,,Credit/Debit card,success,139.0000,0.0000,20.0000,61051088645,FALSE,TRUE,7,61051088645
26849825,c116392b-996f-4802-9e98-63d21da3ce72,26849825,,AmazonPay,success,184.0000,0.0000,20.0000,54831457052,FALSE,TRUE,13,54831457052
236756055,f42c6ed1-1f35-4e00-9cd9-8586131de79d,236756055,PRE_ORDER_TIPPING,AmazonPay,success,155.0000,0.0000,36.0000,126828577541,FALSE,TRUE,7,126828577541
236756055,66a7f49d-d597-4bd6-add0-f5220429c475,236756055,PRE_ORDER_TIPPING,AmazonPay,success,101.0000,0.0000,29.0000,126427774736,FALSE,TRUE,5,126427774736
