ITEMS,WEIGHT,QUANTITY,CALORIES
Veg Cheese Grilled Sandwich,,1.00,274.00
Idlis [2 Pieces] + Vada,,1.00,120.00
Chicken Doner Salad,,1.00,275.00
Mini Ghevar (Plain) Piece,,1.00,80.00
Big Malai Ghewar,,1.00,524.00
Paneer Butter Masala,100.00,,229.00
Paneer Combo,,1.00,280.00
Cucumber Raita,,1.00,40.00
Veg Uttapam,,1.00,92.00
Chilled Badam Milk,100.00,,34.00
Rasgulla Piece,,1.00,270.00
Raj Kachori,,1.00,172.00
Sev Poori,,1.00,70.00
Thandai Candy,,1.00,120.00
Veg Puff,,1.00,170.00
Paneer Tikka Kebab Roll,,1.00,420.00
Sprout Bowl,100.00,,43.00
Meghana Special Biriyani,,1.00,350.00
Rajma Rice,,1.00,261.00
Rasgulla (2 Pcs),,1.00,430.00
Veg N Chicken Treat Semizza Combo and Garlic Bread,,1.00,600.00
Masala Puri,,,60.00
Pani Puri Pd (6 Pcs),,,329.00
Rasmalai [2 pcs],,1.00,478.00
Pineapple Pastry,100.00,,319.00
Oreo Choco Pastry,100.00,,372.30
Chicken Popcorn Rice Bowl,384.00,,610.00
Make Your Own Meal,,,
Pani Puri Golgappe (10 Pcs),,1.00,329.00
Dahi Bhalla,,1.00,106.00
Chole Bhature (2 Pcs),,1.00,427.00
Coca-Cola Can (330 ML),,1.00,130.00
Bhakharbadi B 500 Gm,,1.00,121.00
Chicken Meatball Semizza (Half Pizza)(Serves 1) and Very Veggie Semizza,,1.00,710.00
Delhi Wale Rajma With Rice,,1.00,261.00
Veg Schezwan Hakka Noodles,,1.00,472.60
Rabdi Falooda,,1.00,407.00
Pyaaz Kachori (Per Pc),,1.00,186.00
Malpua,,1.00,123.00
""6"""""""""""""""""""""""""""""""" Achari Peppy Paneer Pizza"""""""""",,1.00,632.00
Dal Tadka,,1.00,259.00
Butter Phulka,,1.00,81.00
Tandoori Roti,,1.00,165.00
Special Veg Biryani,,1.00,101.00
SWEET & SPICEY 930gm,,1.00,1095.00
Al Fahm Chicken Boneless Meal,,1.00,354.00
""12"""""""""""""""""""""""""""""""" Paneer Supreme Pizza (Large)"""""""""",,1.00,136.00
Sitaphal Ice Cream 500ml,,1.00,260.00
Bhuna Paneer Cheese Corn Masala Penne Pasta,,1.00,431.00
Cheese Tomato Masala Penne Pasta,,1.00,166.00
Red Velvet Cheese Cake Jar,,1.00,324.00
Chicken Wrap,,1.00,294.60
Garlic Breadsticks,,1.00,180.00
Chicken Kebab,,1.00,581.00
Tandoori Chicken,,1.00,265.00
Chicken Smokey Bbq Wings,,1.00,190.00
Good ol' Rajma Chawal,,1.00,261.00
Combo 4,,,
Sambar Mini Idli,,1.00,122.00
Moti Choor Laddu [1kg],,1.00,140.00
Ghewar Milk,,1.00,146.00
Chicken Family Pack [Serves 3 - 4],,1.00,777.00
Masala Dosa,,1.00,539.00
Rasmalai (2 Pcs),,1.00,478.00
Sambhar Idli,,1.00,122.00
Chicken Boneless Biryani,630.00,,1135.00
Gulab Jamun (1 Pc),,1.00,112.00
Jalebi,,1.00,150.00
Dhokla (3 Pcs),,1.00,75.00
Butterscotch Shake,,1.00,1370.00
Cheese Melt Chicken Wrap,,1.00,229.50
Veggie Wrap,,1.00,265.40
Belgian Chocolate Mocktail,,1.00,759.00
Jalebi (100 gms),,1.00,150.00
Aloo Tikki Roll,,1.00,89.00
Kulfi Falooda,,1.00,381.30
Chocolate Fantasy,24.00,,121.00
Schezwan Veg Noodles,,1.00,217.60
Super Veggie Pizza,,1.00,450.00
Mix Sauce Penne Pasta,,1.00,517.00
Egg Roll,100.00,,196.00
Cheese Burger,100.00,,303.00
Sambar Vada (2 Pcs),,1.00,73.00
Butterscotch Mousse Cake,,1.00,37.60
Gobi Manchurian Dry,,1.00,294.70
Kesar Falooda,,1.00,569.00
Khaman Dhokla (Per Plate),,1.00,81.00
Kulfi Tub [700ml],700.00,,133.00
Spring Roll,100.00,,154.00
Veg Chow mein,100.00,,459.00
Bhalla Papri,,1.00,592.70
Ras Malai Piece,,1.00,331.00
Veg White Sauce Pasta,100.00,,340.00
Kesar Badam Candy,,1.00,419.00
Alu Tikiya Plate,,1.00,89.00
Homestyle Poha,,1.00,180.00
Southwest paneer salad,,1.00,84.00
Dahi Papad Chaat,,1.00,592.70
Dal Bati Churma Plate,,1.00,1311.00
Chicken Biryani,,1.00,400.00
Sambhar Vada & Podi Idli,,1.00,300.00
Plain Garlic Bread (OS),,1.00,94.00
Veg Fried Rice,100.00,,163.00
Butterscotch Pastry,,1.00,181.20
Gobi Manchurian,100.00,,175.00
Chicken Dum Biryani (Bone),100.00,,544.00
Samosa (Per Pc),,1.00,252.00
""6"""""""""""""""""""""""""""""""" Loads of Veggies Pizza"""""""""",,1.00,170.00
""6"""""""""""""""""""""""""""""""" Butter Paneer Pizza"""""""""",,1.00,632.00
Chili Potato,100.00,,239.00
Mixed Raita,,1.00,40.00
Chicken Dum Biryani,100.00,,420.00
Matka Malai Kulfi (pack Of 2),100.00,,370.00
Veg Schezwan Noodles,100.00,,217.00
Truly Desi Combo,,1.00,415.00
Blueberry Cake Jar,100.00,1.00,510.00
Veg Noodles,100.00,,170.00
Choco Lava Cake,100.00,,546.00
Chicken Biryani Boneless,100.00,,358.00
Idli Vada,,1.00,120.00
Ghewar Malai,,1.00,550.00
Veg Roll,,1.00,154.00
Paneer Roll,,1.00,197.00
Chicken Shawarma Roll,,1.00,392.00
Rabri,,1.00,275.00
Sambhar Vada (3 Pcs).,,1.00,280.00
Aloo Tikki Vada Pav,,1.00,170.00
White Samosa,,1.00,308.00
Chicken Kheema Lasagna,100.00,,160.00
Dilli ke Chole Lasagna,100.00,,250.00
Samosa,,1.00,308.00
Bread Pakora Chutney (2 Pcs),,1.00,465.00
Podi Idli with Coconut Chutney,,1.00,180.00
Chole Bhatoora (2 Pcs),,1.00,460.00
Chilli Potato,100.00,,260.00
Rasgulla (1 Pc),,1.00,106.00
Chocolate Shake,,1.00,478.00
Butter Tandoori Roti,,1.00,165.00
Paneer Cheese Wrap,,1.00,347.00
Grilled Veg Sandwich,,1.00,325.00
Bread Pakora,,1.00,232.00
Dahi Samosa Chaat,,1.00,292.00
Aloo Pyaz Kachori,,1.00,295.00
Paneer Chilli,100.00,,138.00
Paneer Chow mein,100.00,,294.00
Khoya Ghevar,,1.00,172.00
Tandoori Paneer,100.00,,105.00
Veg Manchurian Gravy,100.00,,210.00
Makhan Bada,100.00,1.00,173.00
Malai Chaap,100.00,,210.00
Aloo Tikki Burger,,1.00,317.00
Falooda Kulfi,,1.00,318.00
Milan Spl Uttapam,,1.00,110.00
Veg Loaded,,1.00,218.00
Butter Chicken Roll,,1.00,280.00
Veg Patties,,1.00,170.00
Mixed Veg Uttapam,,1.00,85.00
Crunchy Frappe,,1.00,288.00
Dal Kachori (Per Pc),,1.00,197.00
Mithai Combo,,1.00,328.00
Bbq Chicken,,1.00,226.00
Rasgulla,,1.00,137.00
Chola Bhature (Per Plate),,1.00,420.00
Rasmalai (1 Pc),,1.00,250.00
Veg Spring Roll,,1.00,83.00
Veg Hakka Noodles,,1.00,182.00
Butter Paneer Pizza,,1.00,632.00
Samosa Chutney (2 Pcs),,1.00,548.00
Chilli Potato (Served with Sauce),,1.00,240.00
Chow mein,,1.00,246.00
Dhaba Dal Fry + Tawa Paneer Changezi + 2 Lacchha Parantha + Raita + Salad,,1.00,634.00
""6"""""""""""""""""""""""""""""""" Super Veggie Pizza"""""""""",,1.00,684.00
Aloo Tikki,,1.00,95.00
Malai Tikka Momos,,1.00,370.00
Margherita,,1.00,718.00
Veg Burger,,1.00,210.00
Veg Combo 3 (Large),,1.00,780.00
""6"""""""""""""""""""""""""""""""" Mughlai Chaap Pizza"""""""""",,1.00,734.00
Everyday Value '2 Reg' - Veg Premium Combo,,1.00,659.00
Golgappa (10 Pcs),,1.00,360.00
Tandoori Paneer Roll,,1.00,197.00
Idli (2 Pcs) Vada (1 Pc),,1.00,129.00
Cheese Pizza,,1.00,273.00
Dhoda,,1.00,130.00
Tandoori Chicken (Chipotle),,1.00,100.00
