USER_ID,NUMBER
47166442,11
50384286,5
8271225,104
585709,262
,148
14444332,108
17697193,80
1498186,184
35070571,10
11270778,102
19617971,10
25778138,30
33280063,88
90407571,14
68762417,2
23377979,6
5441360,154
83069612,10
5892700,102
26237288,54
7186531,44
26200320,8
33407142,20
33700768,18
62425258,20
7659571,2
37265800,258
23135256,10
7719698,76
8752531,68
8242745,214
